"COMPANY","ID","CATEGORY"
4560488,7843348,387
4560489,7843349,1046
4560490,7843351,901
4560492,7843352,381
4560494,7843353,762
4560495,7843356,406
4560496,7843357,374
4560496,7843359,391
4560496,7843437,374
4560496,7843441,1022
4560496,7843443,362
4560496,7843444,421
4560496,7843447,1022
4560496,7843448,1022
4560497,7843358,409
4560498,7843360,393
4560499,7843362,378
4560500,7843363,416
4560504,7843364,374
4560505,7843368,481
4560506,7843369,397
4560506,7843410,397
4560507,7843370,416
4560511,7843371,901
4560512,7843372,323
4560516,7843373,1047
4560517,7843374,374
4560517,7843426,374
4560517,7843427,374
4560517,7843429,374
4560517,7843430,374
4560518,7843375,328
4560524,7843411,379
4560525,7843412,354
4560526,7843413,316
4560526,7844982,391
4560529,7843414,305
4560530,7843415,374
4560531,7843418,400
4560532,7843419,323
4560534,7843421,414
4560534,7843442,414
4560536,7843422,386
4560538,7843423,374
4560539,7843424,316
4560540,7843425,305
4560541,7843428,404
4560544,7843434,333
4560546,7843435,409
4560547,7843436,305
4560552,7843450,395
4560554,7843451,501
4560554,7843474,313
4560554,7843844,391
4560556,7843453,316
4560559,7843454,1022
4560560,7843455,301
4560561,7843456,386
4560563,7843458,323
4560564,7843459,316
4560564,7843558,376
4560566,7843460,378
4560566,7847840,391
4560568,7843461,581
4560573,7843467,316
4560574,7843468,390
4560575,7843469,395
4560576,7843470,661
4560578,7843471,317
4560579,7843472,1036
4560584,7843476,360
4560585,7843479,1022
4560586,7843480,381
4560587,7843481,409
4560588,7843482,329
4560589,7843483,416
4560590,7843484,311
4560590,7843496,311
4560593,7843485,374
4560595,7843486,310
4560597,7843487,581
4560599,7843491,386
4560600,7843492,316
4560601,7843493,307
4560603,7843495,416
4560604,7843498,316
4560604,7844623,391
4560605,7843501,323
4560608,7843504,581
4560609,7843505,323
4560610,7843506,345
4560611,7843507,380
4560612,7843508,385
4560613,7843509,312
4560614,7843510,390
4560615,7843511,323
4560616,7843512,311
4560617,7843513,323
4560618,7843514,380
4560619,7843515,316
4560620,7843516,306
4560621,7843517,322
4560622,7843518,329
4560623,7843519,323
4560624,7843521,621
4560625,7843522,581
4560626,7843523,316
4560628,7843526,1022
4560629,7843528,390
4560630,7843529,1022
4560631,7843530,1047
4560632,7843532,316
4560633,7843535,621
4560634,7843536,1038
4560637,7843537,1046
4560640,7843538,392
4560641,7843539,354
4560642,7843540,1104
4560643,7843541,316
4560643,7843567,316
4560646,7843542,306
4560647,7843543,340
4560648,7843546,325
4560649,7843547,410
4560650,7843548,380
4560651,7843550,323
4560652,7843552,306
4560653,7843553,362
4560654,7843555,380
4560655,7843556,581
4560656,7843557,349
4560657,7843559,1033
4560659,7843562,323
4560661,7843564,1022
4560662,7843569,1026
4560663,7843571,397
4560664,7843572,306
4560665,7843575,367
4560666,7843576,1022
4560667,7843577,332
4560668,7843578,330
4560669,7843582,1101
4560670,7843584,322
4560671,7843585,409
4560675,7843586,1022
4560676,7843587,316
4560679,7843588,397
4560686,7843589,349
4560689,7843590,307
4560690,7843591,316
4560691,7843592,409
4560692,7843593,313
4560693,7843594,373
4560694,7843595,386
4560695,7843597,1040
4560696,7843598,1040
4560697,7843599,394
4560698,7843603,1022
4560699,7843606,322
4560700,7843607,324
4560704,7843608,601
4560707,7843609,306
4560708,7843610,362
4560709,7843611,374
4560710,7843612,384
4560711,7843614,362
4560712,7843615,316
4560713,7843617,333
4560713,7843620,333
4560714,7843618,1108
4560715,7843619,316
4560716,7843624,316
4560717,7843625,395
4560718,7843626,387
4560719,7843627,342
4560720,7843628,1021
4560721,7843630,581
4560722,7843631,1022
4560723,7843632,376
4560724,7843633,306
4560724,7843640,306
4560725,7843634,1022
4560726,7843637,1041
4560727,7843641,320
4560727,7843653,320
4560728,7843643,741
4560730,7843644,621
4560731,7843645,386
4560732,7843646,311
4560733,7843647,313
4560734,7843648,303
4560735,7843649,313
4560736,7843650,316
4560737,7843651,1046
4560738,7843652,981
4560739,7843654,303
4560739,7843670,921
4560740,7843655,1040
4560741,7843656,395
4560742,7843657,416
4560743,7843658,322
4560744,7843659,322
4560746,7843660,1022
4560747,7843661,305
4560748,7843662,333
4560748,7843665,333
4560749,7843663,581
4560752,7843666,416
4560753,7843667,397
4560754,7843668,317
4560757,7843671,381
4560758,7843672,329
4560759,7843673,381
4560759,7843684,395
4560762,7843674,1041
4560766,7843675,1022
4560770,7843678,414
4560771,7843679,1021
4560771,7843726,1021
4560772,7843680,421
4560775,7843681,1001
4560776,7843683,322
4560777,7843685,316
4560779,7843686,381
4560780,7843687,378
4560782,7843688,1022
4560783,7843692,323
4560784,7843693,385
4560787,7843694,1047
4560788,7843695,822
4560789,7843696,333
4560790,7843697,395
4560791,7843698,373
4560792,7843699,395
4560793,7843700,333
4560793,7845297,581
4560794,7843701,410
4560794,7843738,316
4560794,7844719,316
4560795,7843702,381
4560795,7843705,381
4560796,7843703,386
4560797,7843704,350
4560798,7843706,416
4560799,7843707,316
4560800,7843710,399
4560801,7843712,416
4560802,7843714,354
4560804,7843715,316
4560806,7843716,381
4560806,7844220,381
4560808,7843717,380
4560809,7843718,333
4560811,7843719,406
4560812,7843720,921
4560813,7843721,416
4560814,7843722,333
4560815,7843723,384
4560816,7843724,416
4560817,7843725,385
4560818,7843729,310
4560820,7843730,581
4560821,7843731,319
4560822,7843732,378
4560823,7843733,397
4560825,7843734,416
4560827,7843735,374
4560830,7843736,641
4560832,7843737,374
4560833,7843740,1022
4560834,7843742,1022
4560835,7843744,324
4560836,7843745,408
4560837,7843746,386
4560838,7843749,384
4560838,7843772,384
4560839,7843750,416
4560839,7843752,391
4560841,7843754,316
4560842,7843755,316
4560843,7843756,395
4560844,7843757,384
4560845,7843759,581
4560846,7843760,410
4560846,7843771,410
4560847,7843761,333
4560848,7843762,581
4560849,7843763,324
4560849,7846995,324
4560854,7843764,325
4560859,7843765,380
4560861,7843766,361
4560864,7843767,386
4560865,7843768,409
4560866,7843770,329
4560866,7846913,1022
4560866,7846914,1022
4560866,7846915,1022
4560867,7843773,316
4560867,7843775,316
4560868,7843777,1022
4560868,7843787,1022
4560869,7843779,1022
4560870,7843780,1022
4560871,7843781,395
4560872,7843784,343
4560873,7843785,410
4560874,7843786,381
4560875,7843788,1022
4560876,7843792,373
4560877,7843793,410
4560879,7843794,395
4560879,7844073,391
4560879,7844111,395
4560880,7843795,371
4560881,7843796,359
4560883,7843797,1039
4560884,7843798,319
4560887,7843800,1046
4560888,7843801,381
4560889,7843802,392
4560890,7843803,373
4560894,7843805,380
4560895,7843809,381
4560896,7843810,393
4560896,7843819,418
4560896,7843820,393
4560896,7843821,417
4560896,7843822,741
4560896,7843824,581
4560897,7843811,621
4560899,7843814,381
4560900,7843816,342
4560901,7843817,1031
4560901,7843838,391
4560905,7843823,1022
4560906,7843825,390
4560907,7843826,379
4560909,7843827,313
4560915,7843829,481
4560917,7843832,1022
4560918,7843848,421
4560919,7843850,333
4560921,7843852,313
4560923,7843853,381
4560927,7843855,302
4560928,7843856,481
4560929,7843857,342
4560930,7843858,373
4560931,7843859,1042
4560932,7843860,581
4560934,7843861,381
4560935,7843862,1022
4560936,7843863,397
4560937,7843864,329
4560938,7843865,395
4560939,7843866,386
4560939,7843877,386
4560941,7843867,421
4560943,7843868,401
4560945,7843869,399
4560946,7843870,305
4560947,7843871,421
4560948,7843872,360
4560951,7843874,360
4560952,7843875,1022
4560953,7843876,741
4560954,7843878,322
4560955,7843879,395
4560956,7843880,406
4560957,7843881,329
4560958,7843882,307
4560960,7843884,311
4560961,7843887,581
4560962,7843888,373
4560963,7843889,313
4560964,7843891,316
4560967,7843892,822
4560968,7843895,621
4560969,7843896,316
4560970,7843897,328
4560971,7843899,301
4560973,7843901,312
4560976,7843902,1022
4560977,7843903,302
4560980,7843907,409
4560981,7843910,421
4560982,7843911,356
4560983,7843913,373
4560984,7843918,681
4560985,7843919,901
4560986,7843921,380
4560986,7843932,391
4560987,7843923,1022
4560988,7843924,409
4560989,7843926,416
4560990,7843927,360
4560991,7843928,1051
4560991,7843955,1051
4560993,7843929,374
4560994,7843930,1022
4560994,7843948,1022
4560995,7843935,1022
4560996,7843937,325
4560997,7843938,316
4560998,7843939,1046
4560999,7843940,408
4561000,7843941,316
4561000,7843976,391
4561002,7843943,354
4561003,7843944,387
4561004,7843946,360
4561005,7843947,404
4561006,7843950,385
4561007,7843953,316
4561008,7843954,311
4561010,7843958,1022
4561012,7843959,621
4561015,7843963,1022
4561016,7843964,409
4561017,7843965,1022
4561018,7843966,410
4561019,7843967,395
4561020,7843968,1022
4561022,7843969,1022
4561022,7843982,1022
4561023,7843970,409
4561024,7843971,409
4561025,7843972,1044
4561028,7843973,1022
4561029,7843974,1022
4561030,7843975,302
4561031,7843977,316
4561032,7843978,410
4561032,7844012,415
4561032,7844014,410
4561032,7844017,410
4561032,7844020,410
4561032,7844021,410
4561032,7844023,410
4561032,7844024,410
4561032,7844026,410
4561032,7844027,316
4561032,7844028,316
4561032,7844029,316
4561032,7844030,316
4561032,7844031,316
4561032,7844032,316
4561032,7844034,316
4561032,7844035,316
4561032,7844038,316
4561032,7844040,316
4561032,7844041,316
4561032,7844042,316
4561032,7844043,316
4561032,7844044,410
4561032,7844045,316
4561032,7844046,316
4561032,7844048,316
4561032,7844049,316
4561032,7844051,316
4561032,7844058,316
4561032,7845276,410
4561033,7843979,380
4561035,7843980,342
4561036,7843981,1022
4561037,7843984,420
4561037,7844002,404
4561038,7843986,410
4561039,7843987,384
4561040,7843988,1027
4561041,7843989,395
4561041,7843995,381
4561041,7843997,381
4561041,7844390,391
4561044,7843990,359
4561047,7843991,392
4561047,7843994,802
4561050,7843993,360
4561053,7843996,1033
4561054,7843998,381
4561057,7843999,1041
4561058,7844000,397
4561059,7844001,373
4561060,7844003,316
4561060,7844013,316
4561060,7844015,1022
4561060,7844016,420
4561061,7844004,406
4561062,7844005,316
4561063,7844006,1001
4561064,7844007,1022
4561065,7844008,360
4561066,7844009,342
4561067,7844010,374
4561068,7844011,822
4561070,7844018,421
4561071,7844019,323
4561072,7844022,384
4561074,7844025,371
4561075,7844033,395
4561076,7844036,323
4561077,7844039,387
4561080,7844047,316
4561081,7844050,317
4561082,7844057,374
4561085,7844059,1022
4561087,7844061,410
4561087,7847696,358
4561087,7847700,360
4561087,7847706,391
4561090,7844062,397
4561091,7844068,316
4561092,7844069,349
4561093,7844072,316
4561094,7844075,381
4561095,7844083,381
4561096,7844084,1022
4561097,7844085,1022
4561097,7844110,1047
4561097,7846485,399
4561098,7844086,1048
4561099,7844109,350
4561100,7844114,312
4561100,7844236,1022
4561101,7844115,621
4561101,7844119,373
4561102,7844117,386
4561103,7844120,310
4561104,7844121,319
4561105,7844123,378
4561106,7844124,1046
4561107,7844126,741
4561108,7844127,410
4561109,7844128,1041
4561110,7844129,366
4561111,7844130,395
4561111,7847018,391
4561112,7844131,305
4561113,7844132,409
4561114,7844133,681
4561115,7844134,381
4561116,7844135,312
4561117,7844136,306
4561118,7844138,385
4561120,7844139,339
4561121,7844140,361
4561121,7844155,361
4561122,7844141,316
4561123,7844142,307
4561127,7844143,1022
4561128,7844144,333
4561129,7844145,1022
4561130,7844146,360
4561131,7844147,319
4561132,7844148,323
4561133,7844150,350
4561134,7844151,621
4561135,7844152,381
4561136,7844153,581
4561137,7844154,741
4561138,7844156,395
4561139,7844157,441
4561140,7844158,329
4561141,7844159,1022
4561142,7844160,301
4561143,7844162,313
4561145,7844164,316
4561146,7844165,316
4561147,7844166,409
4561148,7844167,741
4561151,7844168,1022
4561152,7844169,317
4561153,7844170,381
4561154,7844171,358
4561157,7844172,1047
4561158,7844173,981
4561158,7848406,391
4561159,7844174,323
4561160,7844176,1022
4561161,7844177,416
4561162,7844178,323
4561162,7844188,323
4561163,7844179,373
4561165,7844180,802
4561166,7844181,410
4561170,7844182,323
4561171,7844183,381
4561172,7844184,316
4561173,7844185,381
4561174,7844186,349
4561175,7844187,323
4561176,7844189,316
4561177,7844190,316
4561178,7844192,381
4561179,7844194,366
4561180,7844197,316
4561181,7844198,404
4561182,7844199,316
4561183,7844201,381
4561186,7844202,333
4561187,7844204,327
