"PARENT_CATEGORY_CATEGORY_CODE","CHILD_CATEGORY_CATEGORY_CODE","ADVERTISER_CID","SUM(SUM_COMM_AMOUNT_USD)"
300,301,534038,22067.396
300,301,577911,5215.177
300,301,630927,40860
300,301,769194,2145.495
300,301,882408,1233.559
300,301,1018676,7071
300,301,1121438,5592
300,301,1376813,6722.377
300,301,1403748,4338.322
300,301,1410130,2522.073
300,301,1429390,32092
300,301,1461363,3396.969
300,301,1463221,56485.542
300,301,1464653,1998.233
300,301,1513033,1683.179
300,301,1549809,2269.871
300,301,1596184,4959
300,301,1629726,1764.348
300,301,1702763,1119.861
300,301,1769310,7450.676
300,301,1834639,1840
300,301,1874913,3451.476
300,301,1875529,5581.358
300,301,1905878,10059.881
300,301,1907637,18002.244
300,301,2102181,1499.851
300,301,2270432,1863.738
300,301,2272592,6925.759
300,301,2297498,8619.886
300,301,2335549,16862.636
300,301,2477714,24392.206
300,301,2561038,2005
300,301,2568723,1198.313
300,301,2591819,19215
300,301,2740601,45055.449
300,301,2761828,5436.328
300,301,2800540,29330.188
300,301,2826756,1541.425
300,301,3042233,942501.38
300,301,3301590,2679.298
300,301,3364243,1823.25
300,301,3441144,527755.112
300,301,3483656,138870.709
300,301,3655651,2658021.23
300,301,3656277,15800.081
300,301,3658234,164382.326
300,301,3684562,1076.158
300,301,3838354,1024
300,301,3891235,1003
300,301,3915185,29480.959
300,301,4033411,1164
300,301,4073629,1396.799
300,301,4139568,88088.395
300,302,239516,1092
300,302,276652,2297.069
300,302,534038,11630.663
300,302,577911,3473.29
300,302,630927,7512
300,302,634218,1420.92
300,302,713904,1170
300,302,761785,2085
300,302,829310,6128.489
300,302,1024252,1385
300,302,1032768,7062
300,302,1104648,1595
300,302,1121438,53444
300,302,1132500,1012.018
300,302,1191916,4419
300,302,1343419,139181
300,302,1359466,1723.163
300,302,1359820,2316.681
300,302,1376813,12227.059
300,302,1379744,39760
300,302,1390130,24432
300,302,1395448,1159.33
300,302,1400962,12830
300,302,1403748,1469.553
300,302,1429390,619416
300,302,1438877,4159.303
300,302,1463221,63556.756
300,302,1464653,2327.26
300,302,1489014,1330
300,302,1512270,13388
300,302,1513033,2566.863
300,302,1525519,3710.637
300,302,1582187,1912.245
300,302,1596184,2466
300,302,1614570,1913.3
300,302,1675692,4119.908
300,302,1678405,2185
300,302,1733172,4302
300,302,1763482,3994
300,302,1807847,1003.826
300,302,1808120,25590
300,302,1834639,3100
300,302,1846004,1260.65
300,302,1849428,1211.565
300,302,1874913,1637.383
300,302,1905878,8194.519
300,302,1907637,7435.55
300,302,1957211,2155.138
300,302,2007719,2579.895
300,302,2181877,5629.866
300,302,2239874,1931.585
300,302,2270432,32117.396
300,302,2271086,1197.779
300,302,2272592,79790.666
300,302,2357926,1112.799
300,302,2410613,1645.987
300,302,2428345,6493
300,302,2443854,1275
300,302,2477714,8149.206
300,302,2488215,1288
300,302,2489979,5967.261
300,302,2519226,1930.21
300,302,2525025,4147.766
300,302,2528668,1314.251
300,302,2591819,43450
300,302,2648678,5384.25
300,302,2740601,2947.529
300,302,2778242,1165.088
300,302,2800540,13278.848
300,302,2838279,2503.82
300,302,2852911,1111.21
300,302,2932365,1303
300,302,2948661,1466.199
300,302,2989862,13287.685
300,302,2992197,1731.63
300,302,2999310,1210
300,302,3027894,7489
300,302,3034536,3585.41
300,302,3092756,2991.415
300,302,3102957,1934.727
300,302,3301590,1023.719
300,302,3318586,6644.634
300,302,3329426,1652.097
300,302,3364243,2655.5
300,302,3364990,2638
300,302,3593104,1546.703
300,302,3643738,22696
300,302,3654897,2168.928
300,302,3656277,3714.381
300,302,3684562,8873.122
300,302,3787897,1646.175
300,302,3812601,13818.416
300,302,3818674,1244.667
300,302,3838354,301841
300,302,3891235,4107.584
300,302,3895296,1015
300,302,3915185,66008.865
300,302,3936531,2096.121
300,302,3966243,1948.65
300,302,3977804,1255
300,302,3982959,1087.094
300,302,3989208,7260.565
300,302,4066509,25940
300,302,4076189,1618.403
300,302,4155593,1081.835
300,302,4222745,9943.325
300,302,4316166,1587.237
300,302,4395732,1453.961
300,303,1464653,6567.707
300,303,1905878,1407.776
300,303,2382983,1544.438
300,303,2997613,1779.263
300,303,3286350,16761.6
300,303,4076189,2421.538
300,400,1461363,6913.181
300,400,2823092,1001.5
300,400,3379721,1498.052
300,400,3449087,1708.821
300,400,3773524,1789.925
300,400,4351149,1240
300,901,610486,7861.048
300,901,1400962,2380
300,901,1461363,5801.608
300,901,1605893,11141.143
300,901,1702763,2036.353
300,901,1769310,8569.116
300,901,2036413,5185.527
300,901,2339240,1016.198
300,901,2428345,1602
300,901,2561038,1155
300,901,2654607,35198.72
300,901,2778242,10434.791
300,901,2838279,4207.719
300,901,3037065,2876.112
300,901,3318586,27700.588
300,901,3818707,1127.215
304,305,79362,1094.515
304,305,220481,1139.369
304,305,242732,8121.442
304,305,260551,21110.892
304,305,276652,90937.816
304,305,398977,1141.828
304,305,399634,2459.581
304,305,470094,1003.327
304,305,494998,2654.262
304,305,618928,2273.93
304,305,634218,16194.361
304,305,676705,1393.364
304,305,713904,4410
304,305,722009,2667.135
304,305,753790,1076.971
304,305,774687,1396.251
304,305,777292,2490.679
304,305,809940,11454.013
304,305,847959,1355.743
304,305,849260,28284.379
304,305,860966,2401.055
304,305,882408,3861.191
304,305,943306,2872.549
304,305,991260,1359.032
304,305,998086,1345.012
304,305,1038777,1248.479
304,305,1055136,4241.306
304,305,1055899,72966.885
304,305,1089033,5299.042
304,305,1106703,1009.685
304,305,1133298,3002.537
304,305,1154360,28460.806
304,305,1181479,1535.244
304,305,1227577,1005
304,305,1345392,3767.326
304,305,1359466,2798.396
304,305,1359820,91342.378
304,305,1382555,27374.307
304,305,1395448,5631.394
304,305,1404429,1651.888
304,305,1410130,3934.072
304,305,1410131,1877.617
304,305,1416570,1044.838
304,305,1420344,2098.15
304,305,1455022,1771.586
304,305,1458280,1142.221
304,305,1461363,22080.738
304,305,1463156,6864.46
304,305,1463221,1794.476
304,305,1464653,16922.751
304,305,1472343,3344.441
304,305,1475547,7476.635
304,305,1489356,2278.25
304,305,1491126,3010.673
304,305,1496477,20210.846
304,305,1499756,2631
304,305,1501311,2740
304,305,1501779,8305.975
304,305,1509043,1060.685
304,305,1513033,17215.7
304,305,1522858,67392.873
304,305,1540472,18069.821
304,305,1547334,23162.021
304,305,1552894,1628.793
304,305,1554194,1121.178
304,305,1561202,4271.616
304,305,1562723,3774.81
304,305,1566168,6405.088
304,305,1567450,1122.797
304,305,1569747,1709.829
304,305,1576625,2022.776
304,305,1579083,24196.096
304,305,1582187,5882.377
304,305,1589036,3039.172
304,305,1593258,2228.77
304,305,1596784,1136.341
304,305,1603901,4861.47
304,305,1609619,1990.212
304,305,1610772,3818.764
304,305,1610790,4402.5
304,305,1610793,2526.227
304,305,1614570,6368.46
304,305,1615076,2037.83
304,305,1629726,53902.371
304,305,1631023,10312.542
304,305,1642106,4677.972
304,305,1645428,6785.538
304,305,1664191,2400.8
304,305,1672838,2275.761
304,305,1675692,5645.288
304,305,1678405,3792
304,305,1702763,6672.717
304,305,1711708,1151.871
304,305,1732503,1709.216
304,305,1779394,3027.452
304,305,1788210,1545
304,305,1797996,1251.938
304,305,1807847,24294.464
304,305,1834595,6310.106
304,305,1858393,1506.221
304,305,1859215,8957.586
304,305,1864693,3432.679
304,305,1874913,5547.93
304,305,1875529,5159.615
304,305,1886196,1347.761
304,305,1892004,198562.905
304,305,1896692,1626.154
304,305,1905878,24101.909
304,305,1907637,2554.85
304,305,1919535,7170.303
304,305,1926808,10773.579
304,305,1954338,1772.059
304,305,1956875,1150
304,305,1973680,6972.222
304,305,1977127,1157.305
304,305,2005415,3335.244
304,305,2033441,4415.521
304,305,2056438,2677.415
304,305,2102181,4656.069
304,305,2105290,2795
304,305,2107818,2670.666
304,305,2125713,12105.963
304,305,2125808,2208.39
304,305,2132449,4259.796
304,305,2137044,1409.005
304,305,2138908,2745.681
304,305,2139042,5348.262
304,305,2166212,1721.041
304,305,2166288,1788
304,305,2189066,46274.226
304,305,2193491,1629.515
304,305,2208505,1022.065
304,305,2211340,1371.578
304,305,2218454,1800.21
304,305,2223275,2339.8
304,305,2230306,2268.41
304,305,2231199,1347.692
304,305,2249115,2405.567
304,305,2253598,9650
304,305,2270432,7194.065
304,305,2271086,4117.725
304,305,2271527,2852.705
304,305,2288710,1058.735
304,305,2292829,5421.479
304,305,2297498,27618.856
304,305,2313822,1421.937
304,305,2326708,1860.889
304,305,2339240,8900.492
304,305,2359864,1411.363
304,305,2376964,94441.468
304,305,2383016,1621.133
304,305,2393553,4752.955
304,305,2400910,3779.061
304,305,2404911,1046.69
304,305,2423085,1835.829
304,305,2423467,7317.377
304,305,2428345,1101
304,305,2437969,4501.959
304,305,2446099,1179.754
304,305,2451878,2655.01
304,305,2461201,1767.115
304,305,2486491,5215.119
304,305,2489979,182549.561
304,305,2503629,3037.303
304,305,2503687,1441.417
304,305,2506827,3580.1
304,305,2509798,4544.297
304,305,2511859,6549.009
304,305,2518660,5651
304,305,2521284,2515.803
304,305,2524135,1171.787
304,305,2528668,6165.415
304,305,2534397,1088.202
304,305,2538890,1668.489
304,305,2540350,1359.732
304,305,2542022,2572.639
304,305,2544507,9391.318
304,305,2547997,11402.568
304,305,2568723,16830.369
304,305,2609575,1358.661
304,305,2618386,1549.58
304,305,2619820,77726.183
304,305,2624641,1163.319
304,305,2626374,26445.702
304,305,2628179,39985.039
304,305,2638712,1595.44
304,305,2679058,2315.825
304,305,2679311,1979.858
304,305,2691607,6125.701
304,305,2691614,1888.14
304,305,2710946,1607.921
304,305,2720657,1302.638
304,305,2724900,2306.444
304,305,2740601,1725.025
304,305,2745787,2039.341
304,305,2750679,2719.722
304,305,2755579,2107.323
304,305,2757954,8045.328
304,305,2770190,3972.794
304,305,2774627,1073.75
304,305,2777545,2382.016
304,305,2778242,10522.359
304,305,2779224,3454.464
304,305,2797026,2359
304,305,2800540,16614.785
304,305,2838279,4453.967
304,305,2844548,1788.382
304,305,2854924,1446.167
304,305,2872377,2050.377
304,305,2873989,4346.819
304,305,2875076,2887.267
304,305,2884295,2786.493
304,305,2905841,7039.91
304,305,2910473,1223.97
304,305,2925117,19506.379
304,305,2938767,9204.506
304,305,2942540,25207.292
304,305,2943263,1236.452
304,305,2954255,1881.598
304,305,2957627,2405.337
304,305,2960055,4104
304,305,2962777,4345.893
304,305,2965991,1084.623
304,305,2971897,9800.94
304,305,2999310,10583.19
304,305,3010924,1577.294
304,305,3014150,2314.159
304,305,3014737,3395.5
304,305,3037065,1129.634
304,305,3044792,7840
304,305,3054995,1113.917
304,305,3055640,6800.552
304,305,3057497,3012.157
304,305,3060874,1311.26
304,305,3065278,1781.841
304,305,3071973,2077.848
304,305,3074634,2422.857
304,305,3084302,1561.137
304,305,3095168,3609.936
304,305,3111411,120413.851
304,305,3117602,1537.797
304,305,3121950,17352.871
304,305,3122889,1230.902
304,305,3163922,1402.53
304,305,3175074,3161.69
304,305,3178761,1188.022
304,305,3179724,1053.12
304,305,3179838,2008.954
304,305,3207844,4823.412
304,305,3214875,2586.316
304,305,3234684,1485
304,305,3248095,3340.241
304,305,3252578,1073.352
304,305,3263333,1483.297
304,305,3271014,2736.641
304,305,3271860,1079.25
304,305,3303448,2855
304,305,3318586,3872.432
304,305,3319446,4917.194
304,305,3350021,7063.861
304,305,3350709,1256.95
304,305,3361226,4336.028
304,305,3368042,3189.819
304,305,3379721,10545.166
304,305,3386711,2798.007
304,305,3387105,11723.891
304,305,3396639,1157.708
304,305,3401969,1885.249
304,305,3420776,5593.12
304,305,3422486,7174.719
304,305,3422594,3730.208
304,305,3442175,26172.973
304,305,3446929,1113.909
304,305,3447960,2069.658
304,305,3449087,136067.572
304,305,3449107,1296.981
304,305,3468116,1867.584
304,305,3471990,1992.854
304,305,3499948,1002.841
304,305,3514164,1092.884
304,305,3522308,77437.027
304,305,3528938,8622
304,305,3546818,1379.261
304,305,3604787,1135.334
304,305,3609731,1867.686
304,305,3616712,2779.567
304,305,3626800,4103.673
304,305,3635222,2272.659
304,305,3659001,4126.135
304,305,3662048,1210.17
304,305,3671919,1712.58
304,305,3683615,9183.453
304,305,3685563,2099.88
304,305,3686869,19380.028
304,305,3687358,4220.656
304,305,3693706,9294.185
304,305,3697187,13825
304,305,3724478,2137.24
304,305,3743656,3414.767
304,305,3746136,1527.622
304,305,3768562,1006.586
304,305,3770605,10796.596
304,305,3776728,1984.074
304,305,3805502,4331.24
304,305,3812999,1821.139
304,305,3817685,11392.59
304,305,3818674,5693.709
304,305,3818707,8554.581
304,305,3824326,16554.532
304,305,3825478,3524.104
304,305,3827405,3168.371
304,305,3827418,2299.662
304,305,3827431,1708.659
304,305,3829272,1440
304,305,3831921,2877.577
304,305,3838354,2758
304,305,3840426,1890
304,305,3843880,1894.5
304,305,3847678,22496.442
304,305,3848495,7261.191
304,305,3857124,1534.548
304,305,3857152,1146.513
304,305,3861911,5685.248
304,305,3869738,8711.022
304,305,3895296,28000
304,305,3912481,1846.843
304,305,3915185,2929.913
304,305,3924578,10369.564
304,305,3925419,16114
304,305,3929100,10679.907
304,305,3949378,1467.902
304,305,3949469,1567.756
304,305,3956402,4090.848
304,305,3966032,3983.043
304,305,3971834,27002.273
