"THEKEY","TRIM(DESCRIPTION)"
"46157:232033","In operation since 1998, Ebates is a pioneer in online cash back shopping.
Ebates provides millions of shoppers with a compelling shopping experience that
is easy, trustworthy and rewarding. Ebates reaches shoppers through Ebates.com
and the Ebates Shopping Network, which includes partner sites powered by
Ebates, Ebates-owned sites operated under different brands, and applications
designed to extend the Ebates experience to all mediums through which our
members shop. Our applications include the Ebates Toolbar, which was first
released in late 2011 and has been verified by CJ to be in full compliance with
Network Quality rules, including rules regarding auto-redirects. Information on
affiliate tracking functionality in the Ebates toolbar can be found at
http://www.ebates.com/ESN. Consumer information on the Ebates Toolbar can be
found at http://www.ebates.com/toolbar/shopping/help.htm.  More information on
the Ebates Shopping Network, including current partners and software
applications is available via http://www.ebates.com/ESN."
"46157:259148","In operation since 1998, Ebates is a pioneer in online cash back shopping. Ebates provides millions of shoppers with a compelling shopping experience that is easy, trustworthy and rewarding. Ebates reaches shoppers through Ebates.com and the Ebates Shopping Network, which includes partner sites powered by Ebates, Ebates-owned sites operated under different brands, and applications designed to extend the Ebates experience to all mediums through which our members shop. More information on the Ebates Shopping Network, including current partners and software applications is available via http://www.ebates.com/ESN."
"46157:253901","In operation since 1998, Ebates is a pioneer in online cash back shopping. Ebates provides millions of shoppers with a compelling shopping experience that is easy, trustworthy and rewarding. Ebates reaches shoppers through Ebates.com and the Ebates Shopping Network, which includes partner sites powered by Ebates, Ebates-owned sites operated under different brands, and applications designed to extend the Ebates experience to all mediums through which our members shop. Our applications include the Ebates Toolbar, which was first released in late 2011 and has been verified by CJ to be in full compliance with Network Quality rules, including rules regarding auto-redirects. Information on affiliate tracking functionality in the Ebates toolbar can be found at http://www.ebates.com/ESN. Consumer information on the Ebates Toolbar can be found at http://www.ebates.com/toolbar/shopping/help.htm.  More information on the Ebates Shopping Network, including current partners and software applications is available via  http://www.ebates.com/esn.htm.<br>
<br>
Software Publisher Disclosure Template<br>
=========================<br>
<br>
Software name(s): Ebates Cash Back Toolbar<br>
<br>
Version number(s): FireFox – 1.300.426 and Internet Explorer – v1.656<br>
<br>
Latest version update: November 30th, 2011 – Beta launch<br>
<br>
Software Type and Functionality: <br>
<br>
•	The software is categorized as a toolbar on FireFox and Internet Explorer. <br>
•	The toolbar notifies the user when they visit a merchant site that is a part of the Ebates Cash Back program. <br>
•	The merchant can decide whether to trigger a cash back session automatically upon the user visiting their site or as a result of an affirmative click. <br>
•	The toolbar has specific functionality for when a users comes from an SEM ad or another affiliate site.  In this instance Cash Back is not activiated automatically nor is the user presented with any offer in the form of an alert banner. <br>
•	If a merchant decides to opt-out of the toolbar the Cash Back alert banner will still fire, but upon clicking the user is taken back to the merchants landing page on ebates.com to start their session. <br>
•	The toolbar also includes 2 drop down menus to facilitate the display of targeted stores and deals.  Stores are targeted based on the users shopping activity while deals are based on the merchant site a user is visiting. <br>
•	On Google, Yahoo and Bing organic search results a Cash Back marker is injected so that the user can quickly scan and compare Cash Back rates across the organic results.    <br>
<br>
Software Distribution: <br>
<br>
•	Strictly first party direct from ebates.com. <br>
<br>
Update Process: <br>
<br>
•	Update process is controlled by the user through FireFox and Internet Explorer specific settings. <br>
<br>
Overwrites (Y/N):<br>
•       Paid Search: N, the cash back alert banner does not automatically fire – when shoppers attempt to earn cash back and click the ‘cash back available’ button they are served a banner with a link to return to Ebates site<br>
•       Afsrc/CJ domains: N, in addition the cash back alert banner does not automatically fire- when shoppers attempt to earn cash back and click the ‘cash back available’ button they are served a banner with a link to return to Ebates site<br>
•	SEO: Y, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click. <br>
•	Direct Load: Y, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click. <br>
•	Email: Y, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click. <br>
<br>
=========================<br>"
"46157:251319","In operation since 1998, Ebates is a pioneer in online cash back shopping. Ebates provides millions of shoppers with a compelling shopping experience that is easy, trustworthy and rewarding. Ebates reaches shoppers through Ebates.com and the Ebates Shopping Network, which includes partner sites powered by Ebates, Ebates-owned sites operated under different brands, and applications designed to extend the Ebates experience to all mediums through which our members shop. Our applications include the Ebates Toolbar, which was first released in late 2011 and has been verified by CJ to be in full compliance with Network Quality rules, including rules regarding auto-redirects. Information on affiliate tracking functionality in the Ebates toolbar can be found at http://www.ebates.com/ESN. Consumer information on the Ebates Toolbar can be found at http://www.ebates.com/toolbar/shopping/help.htm.  More information on the Ebates Shopping Network, including current partners and software applications is available via  http://www.ebates.com/esn.htm.<br>
<br>
Software Publisher Disclosure Template<br>
=========================<br>
<br>
Software name(s): Ebates Cash Back Toolbar<br>
<br>
Version number(s): FireFox – 1.300.426 and Internet Explorer – v1.656<br>
<br>
Latest version update: November 30th, 2011 – Beta launch<br>
<br>
Software Type and Functionality: <br>
<br>
•	The software is categorized as a toolbar on FireFox and Internet Explorer. <br>
•	The toolbar notifies the user when they visit a merchant site that is a part of the Ebates Cash Back program. <br>
•	The merchant can decide whether to trigger a cash back session automatically upon the user visiting their site or as a result of an affirmative click. <br>
•	The toolbar has specific functionality for when a users comes from an SEM ad or another affiliate site.  In this instance Cash Back is not activiated automatically nor is the user presented with any offer in the form of an alert banner. <br>
•	If a merchant decides to opt-out of the toolbar the Cash Back alert banner will still fire, but upon clicking the user is taken back to the merchants landing page on ebates.com to start their session. <br>
•	The toolbar also includes 2 drop down menus to facilitate the display of targeted stores and deals.  Stores are targeted based on the users shopping activity while deals are based on the merchant site a user is visiting. <br>
•	On Google, Yahoo and Bing organic search results a Cash Back marker is injected so that the user can quickly scan and compare Cash Back rates across the organic results.    <br>
<br>
Software Distribution: <br>
<br>
•	Strictly first party direct from ebates.com. <br>
<br>
Update Process: <br>
<br>
•	Update process is controlled by the user through FireFox and Internet Explorer specific settings. <br>
<br>
Overwrites (Y/N): <br>
<br>
•	Paid Search: N, in addition the cash back alert banner does not fire. <br>
•	Afsrc/CJ domains: N, in addition the cash back alert banner does not fire. <br>
•	SEO: Y, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click. <br>
•	Direct Load: Y, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click. <br>
•	Email: Y, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click. <br>
<br>
=========================<br>
<br>
Date: May 29, 2012<br>"
"46157:1002","Cash back shopping. Auto redirect functionality built into software application. When you type the URL of an advertiser we are affiliated with into the browser address bar, you will be auto-redirected.

We currently bundle with the various FreeWare applications.





"
"46157:3741","Ebates is the original and leading online shopping portal to offer cash back and 
savings on every purchase. Ebates has assembled a huge community of online 
shoppers who spend millions of dollars a month at over 700 merchant partners. 
The Ebates Shopping Companion download (Moe Money Maker) is also available to 
members. The Moe Money Maker is a small downloadable shopping companion 
that runs in the background waiting for you to access an online store. When you 
pull up any of over 700 member stores in the Ebates network, a reminder will 
appear on your screen letting you know how much cash back you will earn at any 
store."
"46157:259146","Software Disclosure<br>
<br>
Name(s):<br> 
1.Ebates Cash Back Toolbar<br>
2.McAfee SiteAdvisor<br> 
<br>
Software Functionality: <br>
<br>
1. Toolbar for FireFox and Internet Explorer. <br>
1. The toolbar notifies the user when they visit a merchant site that is a part of the Ebates Cash Back program. <br>
1. The merchant can decide whether to trigger a cash back session automatically upon the user visiting their site or as a result of an affirmative click. <br>
1. The toolbar has specific functionality for when a users comes from an SEM ad or another affiliate site.  In this instance Cash Back is not activiated automatically nor is the user presented with any offer in the form of an alert banner. <br>
1. If a merchant decides to opt-out of the toolbar the Cash Back alert banner will still fire, but upon clicking the user is taken back to the merchants landing page on ebates.com to start their session. <br>
1. The toolbar also includes 2 drop down menus to facilitate the display of targeted stores and deals.  Stores are targeted based on the users shopping activity while deals are based on the merchant site a user is visiting. <br>
1. On Google, Yahoo and Bing organic search results a Cash Back marker is injected so that the user can quickly scan and compare Cash Back rates across the organic results.<br>
2. Toolbar<br>
2. <Opt Out Available> Only sites that have been certified by McAfee Secure Scan are eligible to participate at any level in the Safe Shopping Rewards program. Merchant-level settings are as follows:<br>
<br>
Level 1: Cash Back Activation – Automatic<br>
Cash Back activated automatically upon site visit<br>
No click required by the member<br>
Slider appears confirming activation and reward<br>
Cash Back is NOT activated automatically if member is coming<br>
from an SEM link or another publisher site<br><br>
<br>
Level 2: Cash Back Activation – Affirmative Click<br>
Cash Back activated automatically upon site visit AND
affirmative click by member<br>
First slider appears with click call to action<br>
Upon clicking slider appears confirming activation and reward<br>
Slider is NOT activated automatically if member is coming from an SEM link or another publisher site<br>
<br>
Level 3: Opt Out<br>
Cash Back activation must happen via the Safe Shopping Rewards site<br>
Slider appears with click call to action that takes the member to http://www.ebates.com/mcafee/index.htm<br>
Slider is NOT activated automatically if member is coming from an SEM link or another publisher site<br>
<br>
Software Distribution: <br>
<br>
1. first party from ebates.com. <br>
2. first-party software by McAfee at www.siteadvisor.com.<br>
<br>
Update Process: <br>
<br>
1. Update process is controlled by the user through FireFox and Internet Explorer specific settings. <br>
2. Automatic<br>
<br>
Overwrites (Y/N):<br>
1.& 2. Paid Search: No<br>
1.& 2. Afsrc/CJ domains: No<br>
1.SEO: Yes, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click. <br>
2. Icon overlay in search results indicating the availability of cash back through the toolbar.  The icon is only present when the publisher has not opted out of the toolbar.<br> 
1. Direct Load: Yes, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click. <br>
2. N/A<br>
1. Email: Yes, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click. <br>
2. N/A<br>
<br>
Date: 11/2012"
"46157:249178","In operation since 1998, Ebates is a pioneer in online cash back shopping.
Ebates provides millions of shoppers with a compelling shopping experience that
is easy, trustworthy and rewarding. Ebates reaches shoppers through Ebates.com
and the Ebates Shopping Network, which includes partner sites powered by
Ebates, Ebates-owned sites operated under different brands, and applications
designed to extend the Ebates experience to all mediums through which our
members shop. Our applications include the Ebates Toolbar, which was first
released in late 2011 and has been verified by CJ to be in full compliance with
Network Quality rules, including rules regarding auto-redirects. Information on
affiliate tracking functionality in the Ebates toolbar can be found at
http://www.ebates.com/ESN. Consumer information on the Ebates Toolbar can be
found at http://www.ebates.com/toolbar/shopping/help.htm.  More information on
the Ebates Shopping Network, including current partners and software
applications is available via http://www.ebates.com/ESN.


Software Publisher Disclosure Template
=========================

Software name(s): Ebates Cash Back Toolbar

Version number(s): FireFox – 1.300.426 and Internet Explorer – v1.656

Latest version update: November 30th, 2011 – Beta launch

Software Type and Functionality:

•	The software is categorized as a toolbar on FireFox and Internet Explorer.
•	The toolbar notifies the user when they visit a merchant site that is a part of the Ebates Cash Back program.
•	The merchant can decide whether to trigger a cash back session automatically upon the user visiting their site or as a result of an affirmative click.
•	The toolbar has specific functionality for when a users comes from an SEM ad or another affiliate site.  In this instance Cash Back is not activiated automatically nor is the user presented with any offer in the form of an alert banner.
•	If a merchant decides to opt-out of the toolbar the Cash Back alert banner will still fire, but upon clicking the user is taken back to the merchants landing page on ebates.com to start their session.
•	The toolbar also includes 2 drop down menus to facilitate the display of targeted stores and deals.  Stores are targeted based on the users shopping activity while deals are based on the merchant site a user is visiting.
•	On Google, Yahoo and Bing organic search results a Cash Back marker is injected so that the user can quickly scan and compare Cash Back rates across the organic results.    

Software Distribution:

•	Strictly first party direct from ebates.com.

Update Process:

•	Update process is controlled by the user through FireFox and Internet Explorer specific settings.

Overwrites (Y/N):

•	Paid Search: N, in addition the cash back alert banner does not fire.
•	Afsrc/CJ domains: N, in addition the cash back alert banner does not fire.
•	SEO: Y, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click.
•	Direct Load: Y, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click.
•	Email: Y, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click.


=========================

Date: May 29, 2012"
"46157:249180","In operation since 1998, Ebates is a pioneer in online cash back shopping. Ebates provides millions of shoppers with a compelling shopping experience that is easy, trustworthy and rewarding. Ebates reaches shoppers through Ebates.com and the Ebates Shopping Network, which includes partner sites powered by Ebates, Ebates-owned sites operated under different brands, and applications designed to extend the Ebates experience to all mediums through which our members shop. Our applications include the Ebates Toolbar, which was first released in late 2011 and has been verified by CJ to be in full compliance with Network Quality rules, including rules regarding auto-redirects. Information on affiliate tracking functionality in the Ebates toolbar can be found at http://www.ebates.com/ESN. Consumer information on the Ebates Toolbar can be found at http://www.ebates.com/toolbar/shopping/help.htm.  More information on the Ebates Shopping Network, including current partners and software applications is available via http://www.ebates.com/ESN.


Software Publisher Disclosure Template
=========================

Software name(s): Ebates Cash Back Toolbar

Version number(s): FireFox – 1.300.426 and Internet Explorer – v1.656

Latest version update: November 30th, 2011 – Beta launch

Software Type and Functionality:

•	The software is categorized as a toolbar on FireFox and Internet Explorer.
•	The toolbar notifies the user when they visit a merchant site that is a part of the Ebates Cash Back program.
•	The merchant can decide whether to trigger a cash back session automatically upon the user visiting their site or as a result of an affirmative click.
•	The toolbar has specific functionality for when a users comes from an SEM ad or another affiliate site.  In this instance Cash Back is not activiated automatically nor is the user presented with any offer in the form of an alert banner.
•	If a merchant decides to opt-out of the toolbar the Cash Back alert banner will still fire, but upon clicking the user is taken back to the merchants landing page on ebates.com to start their session.
•	The toolbar also includes 2 drop down menus to facilitate the display of targeted stores and deals.  Stores are targeted based on the users shopping activity while deals are based on the merchant site a user is visiting.
•	On Google, Yahoo and Bing organic search results a Cash Back marker is injected so that the user can quickly scan and compare Cash Back rates across the organic results.    

Software Distribution:

•	Strictly first party direct from ebates.com.

Update Process:

•	Update process is controlled by the user through FireFox and Internet Explorer specific settings.

Overwrites (Y/N):

•	Paid Search: N, in addition the cash back alert banner does not fire.
•	Afsrc/CJ domains: N, in addition the cash back alert banner does not fire.
•	SEO: Y, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click.
•	Direct Load: Y, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click.
•	Email: Y, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click.


=========================

Date: May 29, 2012"
"46157:250022","In operation since 1998, Ebates is a pioneer in online cash back shopping. Ebates provides millions of shoppers with a compelling shopping experience that is easy, trustworthy and rewarding. Ebates reaches shoppers through Ebates.com and the Ebates Shopping Network, which includes partner sites powered by Ebates, Ebates-owned sites operated under different brands, and applications designed to extend the Ebates experience to all mediums through which our members shop. Our applications include the Ebates Toolbar, which was first released in late 2011 and has been verified by CJ to be in full compliance with Network Quality rules, including rules regarding auto-redirects. Information on affiliate tracking functionality in the Ebates toolbar can be found at http://www.ebates.com/ESN. Consumer information on the Ebates Toolbar can be found at http://www.ebates.com/toolbar/shopping/help.htm.  More information on the Ebates Shopping Network, including current partners and software applications is available via http://www.ebates.com/ESN.<br>
<br>
Software Publisher Disclosure Template<br>
=========================<br>
<br>
Software name(s): Ebates Cash Back Toolbar<br>
<br>
Version number(s): FireFox – 1.300.426 and Internet Explorer – v1.656<br>
<br>
Latest version update: November 30th, 2011 – Beta launch<br>
<br>
Software Type and Functionality: <br>
<br>
•	The software is categorized as a toolbar on FireFox and Internet Explorer. <br>
•	The toolbar notifies the user when they visit a merchant site that is a part of the Ebates Cash Back program. <br>
•	The merchant can decide whether to trigger a cash back session automatically upon the user visiting their site or as a result of an affirmative click. <br>
•	The toolbar has specific functionality for when a users comes from an SEM ad or another affiliate site.  In this instance Cash Back is not activiated automatically nor is the user presented with any offer in the form of an alert banner. <br>
•	If a merchant decides to opt-out of the toolbar the Cash Back alert banner will still fire, but upon clicking the user is taken back to the merchants landing page on ebates.com to start their session. <br>
•	The toolbar also includes 2 drop down menus to facilitate the display of targeted stores and deals.  Stores are targeted based on the users shopping activity while deals are based on the merchant site a user is visiting. <br>
•	On Google, Yahoo and Bing organic search results a Cash Back marker is injected so that the user can quickly scan and compare Cash Back rates across the organic results.    <br>
<br>
Software Distribution: <br>
<br>
•	Strictly first party direct from ebates.com. <br>
<br>
Update Process: <br>
<br>
•	Update process is controlled by the user through FireFox and Internet Explorer specific settings. <br>
<br>
Overwrites (Y/N): <br>
<br>
•	Paid Search: N, in addition the cash back alert banner does not fire. <br>
•	Afsrc/CJ domains: N, in addition the cash back alert banner does not fire. <br>
•	SEO: Y, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click. <br>
•	Direct Load: Y, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click. <br>
•	Email: Y, user is shown a cash back alert banner confirming a cash back session has started or requesting an affirmative click. <br>
<br>
=========================<br>
<br>
Date: May 29, 2012<br>"
