"THEKEY","TRIM(DESCRIPTION)"
"205538:349402","Directory of web sites."
"213400:298951","Daniel Young LLC operates several web sites and primarily drives traffic via paid search. Web sites range from review sites, a technology blog, and a shopping web site. Daniel Young LLC was first established in the year 2000. Daniel Young LLC's main brand is 9malls."
"265492:320937","We specialize in Affiliate marketing utilizing Worldwide search marketing and have been participating in shoe affiliate marketing for over 10 years. 

............................................................................................................................................................................................."
"508882:300640","We build niche websites that attract organic search visitors. All traffic to our websites is organic. We target various specific niches and also have a large focus on hyper local content. Many of our websites cater to local audiences, so we try to get our offers as targeted as possible."
"716372:274482","imwave promotes advertisers via the following promotional methods: 1. Search Engine Marketing Keyword Campaigns - this is our primary and most effective advertising method. We typically use Google, Yahoo and Bing. 2. Banner Display Campaigns - utilizing banner advertising / content networks to promote our partners banner ads. 3. Pay-Per-Call - Utilizing mobile search and or display advertising targeting mobile phones to generate targeted sales calls for our advertising partners."
"716372:275709","imwave promotes advertisers via the following promotional methods: 

1. Search Engine Marketing Keyword Campaigns - this is our primary and most effective advertising method. We typically use Google, Yahoo and Bing. 

2. Banner Display Campaigns - utilizing banner advertising / content networks to promote our partners banner ads.

3. Pay-Per-Call - Utilizing mobile search and or display advertising targeting mobile phones to generate targeted sales calls for our advertising partners."
"716372:275708","imwave promotes advertisers via the following promotional methods: 

1. Search Engine Marketing Keyword Campaigns - this is our primary and most effective advertising method. We typically use Google, Yahoo and Bing. 

2. Banner Display Campaigns - utilizing banner advertising / content networks to promote our partners banner ads.

 3. Pay-Per-Call - Utilizing mobile search and or display advertising targeting mobile phones to generate targeted sales calls for our advertising partners."
"780839:299661","We have 30+ websites from coupon deals, airline tickets, hotels, car rentals, money transfer, insurance, loans, blogs and more!

Get more visible and boost your business by partnering with MicroWeb technologies Inc,  We will give you more visibility and help convert traffic into sales. Opportunities are available to all advertisers.

We prefer to have close working relationships with our partners. We don't have special requirements to work with us, just send us regular emails with links and we will take care of you.

We will help you improve your sales!
"
"808238:307026","Dear Affiliate Team,

I have over 11 years experience in search engine optimization and over 7 years experience in pay per click advertising. I intend to use both avenues to market checks unlimited. I have access to a number of excellent resources for researching keywords and searchterms and tailoring advertising so that traffic is highly targeted, drawing consumers who are actively looking for your product at precisely the time of their search.

I intend to use primarilly pay search adverting for marketting, as per your terms.

Thank you."
"834889:320385","Deal/coupon blog. Merchants send me deals to post on the website in order to drive sales. Similar to other deal sites such as: slickdeals.net, bensbargains.net, bradsdeals.com, spoofee.com, et. al. Note sure how to make this description reach 250 characters."
"1061035:292512","We are an established web and mobile search marketing firm. Web Ink LLC partners with established or unique companies to drive them large numbers of incremental sales, both through call volume and net traffic. Web Ink brings a unique and financially driven perspective to driving sales and bottom line performance to their clients."
"1064439:376147","Used to be a 5 star affiliate until a 5 star merchant left the network. . I run a website and do paid search.  Much ofmthe paidmsearch I do, is outside the US. . I have been an affiliate for 15+ years. 

Happy to discuss with any merchant how I can help them.  I've been a marketing consultant for leading ecommerce businesses including creating top affiliate programs."
"1170703:314654","We drive visitors and purchasers through our collection of websites, SEM, social media, local listings and call center sales.  We have a team with years of experience, dedicated to fulfilling customer requirements and bringing in more revenue. We are experts at mobile, international &amp; new market expansion."
