"THEKEY","DESCRIPTION"
"278155:316353","Our network of sites feature some of the longest running and most successful employment services online (homeworkersnet.com 1997, SOHOjobs.com 1998 and Virtualassistantjobs.com 1999, just to name a few). We provide FREE job listing and candidate research, project posting, job search tools, resume/profile hosting, and career training and certification. "
"403278:308522","We operate several different travel destination sites, as well as television and radio sites.  An example of our travel destination sites include the premier information resource for the million-plus acre Boundary Waters Canoe Area Wilderness, listed as one of National Geographic's 50 Places of a Lifetime."
"416720:352919","I run an interlinked set of social/niche market web pages.  The social content is based upon the idea that people who are looking for specific niche markets will find or be directed to my site where they can find information and products that will satisfy their search.  By providing a wide variety of links to interesting product and information, I maximize the possibility that visitors to my pages will find something that they need/want."
"549440:330172","DrCredit.com has been in business since 1999 helping consumers find and secure the loan product that best fits their needs. We market through organic search channels only. We will provide you with the best leads available. We have also been a member of the cj.com community for 15 years as well. "
"678104:5482","TeamSalesAgent is a lead and shoppng cart recovery tool. There are no downloads. After a user leaves your site we launch a chat window with an artificial intelligence agent to attempt to chat the user back to your site to complete the lead or finish shopping."
"678104:1049","""The Delfin Project's patented technology (#6,067,570)is utilized when one of our users clicks on their ISP icon to launch a dial-up session we fill that 30 seconds or so of wait time with a previously cached ad. The ad shows offline and then is reported to us once online. We background load ads politely to users. Our network of 7.8 million U.S. users can be targeted geographically, by date or by time of day. We are currently adding additional targeting capability which will include age and gender. As far as an ad spec in a nutshell we can support anything the Internet Explorer browser supports since this is our display platform. Html, Flash, animated gifs, Quicktime, MPEG, Windows Media Player all work. The ideal time for an ad to run is roughly 20 seconds since connection time vary.""

CJ Reviewed"
"1057367:33784","Namespace works with over 20 million enabled browsers and growing: from large and medium-sized ISPs, search, and browser navigation partners to Parental and corporate filters. NameSpace provides Trusted Navigation to brand owner’s sites and content for a rapidly-growing number of satisfied Internet consumers. Users inputting 'ISP Keywords', 'Brand Keywords' and 'Search Keywords' directly into the browser address bar are delivered straight to your site providing the superior end-user experience of your customer reaching your site as they intended. This protects your brand while providing a 100% CLICK-THROUGH RATE for all your prospective customers’ on-line requests. NameSpace works as a Web service directly with its contracted distribution partners: ISP’s at a root server level and select top-tier search toolbar companies that comply with any and all anti-spyware/adware guidelines, allow for pop- up/under blocking, provide a clear and useful service, and can be easily and completely removed by the end user. This software, installed at the desktop level by users, as well as the partner ISPs, contains within their end user license agreements verbiage which makes it clear that the service will be performing server side redirects to specific advertisers in an effort to improve a user’s browsing experience. Namespace works with advertisers to receive permission to use authorized trademark and brand names, honoring protected keywords."
"1137647:40268","Special Program: Our Shopping Assistant Program generates legitimate leads from the same IP addresses. Shopping assistants provide access to their computers for shoppers who do not have Internet access and/or a credit card. Buyers work with our shopping assistants to shop for goods and make purchases using computers and Internet access that we provide. This type of access is similar to having an Internet cafe that generates affiliate leads from a relatively small number of shared computers."
"1173610:43900","Special Progran Statement

I use PHP redirects - purchasing domains that are commonly misspelled and redirecting the user to the appropriate Advertiser's page. I have legal agreements with many companies to publish in this manner. My sole interest is to increase revenue for my advertisers. I aso donate proceeds from my profits to charity. I am not a ""Typo Squatter"" that points urls to another advertiser or a link farm. I point my urls to your company. if at any time you nolonger desire my service I will deactivate our relationship and cancel our affiliation. Again, I only have the best interests of my clients in mind"
"1173610:1252","1)  url optimization within guidelines that redirects lost sales generating traffic to advertiser. 2) with a percentage of sales going to charity."
