"THEKEY","TRIM(DESCRIPTION)"
"4113:362080","Shopping comparison site for books. AllBookstores.com is your one-stop site for finding the best deal on books and college textbooks. We're your insurance against the vagaries of the textbook industry and the unfair price structure of the buyback process. We're the procrastinator's best friend, giving you a way to search and compare prices on used textbooks long after every copy has disappeared from the campus bookstore."
"240830:336308","We target niche markets.  Our primary site is www.im-tall-too.com which targets clothing and accessories for tall men and women, and has been active on the Internet since 2002.  Our flagship site is www.wellingtonsquare.com, which is an Internet mall with a broad selection of merchandise and merchants.  It has been active on the Internet since 1999.  We also have a very niche oriented travel site, www.travel-tips.us.  We use organic search to drive business to our sites, and we do not participate in pay per click marketing."
"292385:3969","Members earn points for each verified purchase in our Mall. Members can turn their points in for cash or gift cards from major retailers."
"304044:351368","We are the leading textbook price-comparison website. We have saved students millions of dollars since beginning our service in the late-'90s. We do not buy or sell or rent textbooks, we provide a price-comparison service that shows students and book buyers and sellers all of their options so that they can find the best deals. We believe that no student should go without learning materials or incur further crippling debt to get the books he or she needs. We are offering more value-added education-related options and products to our website."
"671139:5452","BIGWORDS.com is one of the largest textbook price comparison search engines. 
Our service includes the Uber-BOT's Multi-Item Price Optimization, which finds
the cheapest combination of stores from which a student should buy his/her
books.  This technology saves students $225 on average multi-item orders. 
Whether through the site at BIGWORDS.com or our iPhone app of the same name,
students love saving money using BIGWORDS!

Privacy Policy: http://www.bigwords.com/help/index.php?z=privacy"
"816390:360511","Your Source For Online Coupons, Promo Codes &amp; The Hottest Deals.
we save you time and money by bringing you the best deals, online coupons, promo codes available from your favorite brands.
Free Coupons, Best Prices, Reviews - Amazon, Best Buy.com, TigerDirect, CompUSA, and many more.."
"819843:372013","We are a super affiliate company that specializes in running high traffic price comparison websites.  We have been in the space since 2001 and have continued to grow throughout the years.  Typically we do require a higher commission rate than standard affiliates, but you will get a lot of traffic for the slightly higher rate."
"848867:337100","Book search and price comparison service. In business since 2003 and one of the most used book search engines in the world Direct Textbooks, Inc is committed to helping people find books faster! Direct Textbook searches the inventory of the best online bookstores and provides a summary of where and for how much a book can be purchased, rented or sold for."
"1004869:309195","Our business model is based on affiliate referral  We help sell a product in return for commission.  We simply get rewarded for referring customers to a retailer when they make a sale. One of our websites is upcitemdb.com. With over 50 million unique UPC numbers, UPCitemdb.com is one of the largest UPC lookup databases where users can search a broad range of upc numbers to find related product information, images, barcodes, online shopping guide and more."
"1037482:337369","ShopOUTLETS powered by Miner Labs is a responsive design website and iOS native app uniquely designed for the outlet industry/Simpon Property Group. ShopOUTLETS is the destination to shop all your favorite retail outlet stores and brands from the convenience of your phone or computer. ShopOUTLETS brings top retailers together under one virtual roof reaching customers they may never have attracted before. Retailers may contact us at hello@shopoutlets.com for more information."
"1069519:297506","NexTag, The Search Engine for Shoppers (SM), is the fastest way to find and compare products and prices online. The companys unique search engine technology, including fast and relevant product search results, TruePrice, and product price history, enables shoppers to quickly compare prices of millions of products from thousands of online stores.

We own and operate leading comparison shopping engines including Nextag, Pricemachine.com, Calibex.com, Wize.com, and guenstiger.de, and provide services to a wide ecosystem of partner sites that use our e-commerce platform. These sites together drive over $1.4B in annual merchant sales."
"1189274:244916","eBay Product ads is the only advertising solution that helps you create and manage a highly targeted campaign designed to engage eBay shoppers and over 100 million consumers across our network of more than 2,000 publishers. With eBay’s first-party data and cross-device capabilities, you can target shoppers who are actively searching for your products on any device – at moments of maximum influence."
"1351440:296817","Price Comparison Engine"
"1353521:302787","FindersCheapers.com is a search engine with price comparison. We promote FindersCheapers via SEO, PPC, Banner Ads, Social Media, etc.

FindersCheapers.com has significant sales volume, but in order to produce sales on FindersCheapers, you must have unique identifies such as UPC codes, ISBN Numbers, or Manufacturer Names and Part Numbers. This will ensure your product listings are not pushed to the back of our search results."
"1381845:325780","Large network of websites offering products in many specialty niches including occupational-themed, animal/pet-themed, hobby-themed, fashion, and more. If I applied for your program, it is because I have a site where your products would be a good fit."
"1395511:274870","At Credit.com, we are credit experts who are deeply passionate about helping people navigate the mysterious world of credit and guiding them to the right decisions so that they can attain the lifestyle that they desire.  We distribute content as well as offer a Free Credit Score product.  In addition to our organic traffic on credit.com, we partner with other financial sites that add value to a consumer's financial experience by displaying our offers through our API.  All partners are currently being tracked on separate CJ PIDS  to provide the transparency required by the advertisers."
"1447555:343873","StillMadeinUSA.com is a directory of American-made goods for the home and family. A brief description of the company or product accompanies each listing, and listings are organized by shopping categories (e.g., kitchen/dining, toys and games, yard and garden). Ad placement corresponds to the appropriate product category and is limited to companies or retailers that offer significant US-made content and clear information about country of origin."
